inte',$S_0$,$S_1$,$S_2$,aero',$S_0$,$S_1$,$S_2$,dist',$S_0$,$S_1$,$S_2$,obse',$S_0$,$S_1$,$S_2$,ctrl',$S_0$,$S_1$,$S_2$
3.683967,0,0,0,3.683967,51.193696,-446.147655,-1618.843528,3.683967,51.193696,-446.147655,-1618.843528,3.683967,66.096403,-574.598939,-2090.029282,3.683967,161862.6214,-1.39E+06,-5.12E+06
3.727777,0,0,0,3.727777,50.147395,-437.546223,-1585.781707,3.727777,50.147395,-437.546223,-1585.781707,3.727777,61.092649,-531.596141,-1931.829188,3.727777,161949.0672,-1.39E+06,-5.12E+06
3.771512,0,0,0,3.771512,48.9063,-427.280079,-1546.561689,3.771512,48.9063,-427.280079,-1546.561689,3.771512,56.413481,-491.384092,-1783.891392,3.771512,162029.5941,-1.40E+06,-5.12E+06
3.810144,0,0,0,3.810144,41.490694,-362.961344,-1312.080361,3.810144,41.490694,-362.961344,-1312.080361,3.810144,52.184186,-454.989906,-1650.174652,3.810144,162096.3412,-1.40E+06,-5.13E+06
3.85922,0,0,0,3.85922,34.098882,-298.847971,-1078.351341,3.85922,34.098882,-298.847971,-1078.351341,3.85922,46.480665,-405.805062,-1469.842731,3.85922,162175.6486,-1.40E+06,-5.13E+06
3.899968,0,0,0,3.899968,30.575636,-268.432226,-966.953074,3.899968,30.575636,-268.432226,-966.953074,3.899968,41.805559,-365.437518,-1322.02448,3.899968,162237.0449,-1.40E+06,-5.13E+06
3.943858,0,0,0,3.943858,29.792508,-262.102568,-942.212315,3.943858,29.792508,-262.102568,-942.212315,3.943858,37.519341,-328.470617,-1186.504132,3.943858,162298.7066,-1.40E+06,-5.13E+06
3.987137,0,0,0,3.987137,26.731616,-235.720148,-845.434774,3.987137,26.731616,-235.720148,-845.434774,3.987137,33.776097,-296.204572,-1068.152246,3.987137,162355.2918,-1.40E+06,-5.13E+06
4.037352,0,0,0,4.037352,24.515186,-216.841133,-775.367578,4.037352,24.515186,-216.841133,-775.367578,4.037352,30.40295,-267.246544,-961.507435,4.037352,162415.8646,-1.40E+06,-5.14E+06
4.084403,0,0,0,4.084403,21.634486,-191.997138,-684.286597,4.084403,21.634486,-191.997138,-684.286597,4.084403,27.553949,-242.804493,-871.434733,4.084403,162468.1584,-1.40E+06,-5.14E+06
4.138598,0,0,0,4.138598,17.500689,-156.004461,-553.569561,4.138598,17.500689,-156.004461,-553.569561,4.138598,24.326923,-215.056325,-769.407601,4.138598,162523.5119,-1.40E+06,-5.14E+06
4.186286,0,0,0,4.186286,14.773742,-132.301858,-467.34123,4.186286,14.773742,-132.301858,-467.34123,4.186286,21.522542,-190.87516,-680.739864,4.186286,162568.2641,-1.40E+06,-5.14E+06
4.235152,0,0,0,4.235152,13.112621,-118.07322,-414.825079,4.235152,13.112621,-118.07322,-414.825079,4.235152,18.67236,-166.209748,-590.619803,4.235152,162610.563,-1.40E+06,-5.14E+06
4.28097,0,0,0,4.28097,11.7851,-106.76179,-372.858463,4.28097,11.7851,-106.76179,-372.858463,4.28097,16.290191,-145.592632,-515.297785,4.28097,162647.1046,-1.40E+06,-5.14E+06
4.335239,0,0,0,4.335239,9.904655,-90.493543,-313.40084,4.335239,9.904655,-90.493543,-313.40084,4.335239,14.079639,-126.580383,-445.407786,4.335239,162686.6569,-1.40E+06,-5.14E+06
4.373042,0,0,0,4.373042,9.840064,-90.535085,-311.386863,4.373042,9.840064,-90.535085,-311.386863,4.373042,12.804166,-115.678287,-405.084952,4.373042,162712.0125,-1.40E+06,-5.14E+06
4.428434,0,0,0,4.428434,8.026945,-74.764403,-254.054059,4.428434,8.026945,-74.764403,-254.054059,4.428434,11.087264,-101.00402,-350.806838,4.428434,162746.1953,-1.40E+06,-5.15E+06
4.477497,0,0,0,4.477497,6.534823,-61.687163,-206.866892,4.477497,6.534823,-61.687163,-206.866892,4.477497,9.654971,-88.723618,-305.524544,4.477497,162773.7666,-1.40E+06,-5.15E+06
4.522585,0,0,0,4.522585,5.413345,-51.87562,-171.401843,4.522585,5.413345,-51.87562,-171.401843,4.522585,8.350323,-77.44368,-264.273339,4.522585,162797.0646,-1.40E+06,-5.15E+06
4.567409,0,0,0,4.567409,4.290278,-41.875422,-135.878319,4.567409,4.290278,-41.875422,-135.878319,4.567409,7.102794,-66.576688,-224.824385,4.567409,162818.4166,-1.40E+06,-5.15E+06
4.614691,0,0,0,4.614691,3.564156,-35.643198,-112.921503,4.614691,3.564156,-35.643198,-112.921503,4.614691,5.975309,-56.794122,-189.173209,4.614691,162839.083,-1.40E+06,-5.15E+06
4.663584,0,0,0,4.663584,3.163689,-32.681875,-100.282925,4.663584,3.163689,-32.681875,-100.282925,4.663584,4.996409,-48.368701,-158.223523,4.663584,162858.5895,-1.40E+06,-5.15E+06
4.71821,0,0,0,4.71821,2.460044,-26.698055,-78.039363,4.71821,2.460044,-26.698055,-78.039363,4.71821,4.074433,-40.515224,-129.077477,4.71821,162878.3327,-1.40E+06,-5.15E+06
4.767654,0,0,0,4.767654,1.832222,-21.185686,-58.18456,4.767654,1.832222,-21.185686,-58.18456,4.767654,3.341647,-34.300698,-105.913532,4.767654,162894.5044,-1.40E+06,-5.15E+06
4.814023,0,0,0,4.814023,1.334155,-16.823065,-42.433745,4.814023,1.334155,-16.823065,-42.433745,4.814023,2.712366,-28.933158,-86.020009,4.814023,162908.3308,-1.40E+06,-5.15E+06
4.858674,0,0,0,4.858674,0.892269,-12.792776,-28.452029,4.858674,0.892269,-12.792776,-28.452029,4.858674,2.142277,-23.960599,-67.992523,4.858674,162920.5186,-1.40E+06,-5.15E+06
4.910962,0,0,0,4.910962,0.535371,-10.102101,-17.186068,4.910962,0.535371,-10.102101,-17.186068,4.910962,1.550018,-18.732555,-49.261058,4.910962,162933.4845,-1.40E+06,-5.15E+06
4.95997,0,0,0,4.95997,0.177173,-6.579474,-5.840268,4.95997,0.177173,-6.579474,-5.840268,4.95997,1.075476,-14.562771,-34.253576,4.95997,162944.4576,-1.40E+06,-5.15E+06
5.003282,0,0,0,5.003282,-0.065825,-4.517456,1.841153,5.003282,-0.065825,-4.517456,1.841153,5.003282,0.713957,-11.444299,-22.82318,5.003282,162953.2835,-1.40E+06,-5.15E+06
5.046532,0,0,0,5.046532,-0.30816,-2.968432,9.47761,5.046532,-0.30816,-2.968432,9.47761,5.046532,0.392852,-8.782099,-12.6757,5.046532,162961.3473,-1.40E+06,-5.15E+06
5.091558,0,0,0,5.091558,-0.519873,-1.140284,16.171527,5.091558,-0.519873,-1.140284,16.171527,5.091558,0.093055,-6.324617,-3.202909,5.091558,162969.0086,-1.40E+06,-5.15E+06
5.148997,0,0,0,5.148997,-0.76057,0.828599,23.776677,5.148997,-0.76057,0.828599,23.776677,5.148997,-0.230623,-3.582066,7.028647,5.148997,162977.7825,-1.40E+06,-5.15E+06
